X,Y,site_no,site_nm,huc_cd,huc4,huc4_nm,state,county_name,county_fips,population,site_lab
-95.645,40.60166667,06810000,"Nishnabotna River Above Hamburg, IA",10240004,1024,Missouri-Nishnabotna,MO,Atchison County,005,5685,9
-94.8568333,39.75325,06818000,"Missouri River At St. Joseph, MO",10240011,1024,Missouri-Nishnabotna,MO,Buchanan County,021,89201,10
-92.79075,39.53994444,06905500,"Chariton River Near Prairie Hill, MO",10280202,1028,Chariton-Grand,MO,Chariton County,041,7831,18
-97.1275203,39.3555515,06856600,"Republican R At Clay Center, KS",10250017,1025,Republican,KS,Clay County,027,8535,12
-92.20825,38.42144444,06926510,"Osage River Below St. Thomas, MO",10290111,1029,Gasconade-Osage,MO,Cole County,051,75990,20
-99.5405556,40.6825,06768000,"Platte River Near Overton, NE",10200101,1020,Platte,NE,Dawson County,047,24326,1
-97.1177952,38.90638906,06877600,"Smoky Hill R At Enterprise, KS",10260008,1026,Smoky Hill,KS,Dickinson County,041,19754,13
-96.5408333,41.56116667,06800000,"Maple Creek Near Nickerson, NE",10220003,1022,Elkhorn,NE,Dodge County,053,36691,5
-95.9225138,41.25888735,06610000,"Missouri River At Omaha, NE",10230006,1023,Missouri-Little Sioux,NE,Douglas County,055,517110,7
-96.2838889,41.2933333,06800500,"Elkhorn River At Waterloo, NE",10220003,1022,Elkhorn,NE,Douglas County,055,517110,6
-91.4385,38.70980556,06934500,"Missouri River At Hermann, MO",10300200,1030,Lower Missouri,MO,Gasconade County,073,15222,22
-99.5025,40.13166667,06844500,"Republican River Near Orleans, NE",10250009,1025,Republican,NE,Harlan County,083,3423,11
-95.7822222,41.6416111,06609500,"Boyer River At Logan, IA",10230007,1023,Missouri-Little Sioux,IA,Harrison County,085,14928,8
-94.3005038,39.1005609,06894000,"Little Blue River Near Lake City, MO",10300101,1030,Lower Missouri,MO,Jackson County,095,674158,21
-94.9646893,38.9833375,06892350,"Kansas R At Desoto, KS",10270104,1027,Kansas,KS,Johnson County,091,544179,16
-93.2736944,39.64002778,06902000,"Grand River Near Sumner, MO",10280103,1028,Chariton-Grand,MO,Livingston County,117,15195,17
-97.7347745,41.4414021,06794000,"Beaver Creek At Genoa, NE",10210009,1021,Loup,NE,Nance County,125,3735,4
-98.6942395,39.42778826,06874000,"Sf Solomon R At Osborne, KS",10260014,1026,Smoky Hill,KS,Osborne County,141,3858,14
-93.3703333,37.68266667,06921070,"Pomme De Terre River Near Polk, MO",10290107,1029,Gasconade-Osage,MO,Polk County,167,31137,19
-96.3055532,39.19833014,06887500,"Kansas R At Wamego, KS",10270102,1027,Kansas,KS,Pottawatomie County,149,21604,15
-96.1577778,41.01527778,06805500,"Platte River At Louisville, NE",10200202,1020,Platte,NE,Sarpy County,153,158840,2
-100.5252778,41.7786111,06775900,"Dismal River Near Thedford, NE",10210002,1021,Loup,NE,Thomas County,171,647,3
