"site_lab","site_nm","huc4","slope","p"
"1","Platte River Near Overton, NE","1020","-0.805","0.8303"
"2","Platte River At Louisville, NE","1020","33.652","0.1444"
"3","Dismal River Near Thedford, NE","1021","0.047","0.1962"
"4","Beaver Creek At Genoa, NE","1021","0.168","0.8117"
"5","Maple Creek Near Nickerson, NE","1022","1.100","0.3143"
"6","Elkhorn River At Waterloo, NE","1022","11.712","0.0090"
"7","Missouri River At Omaha, NE","1023","-95.171","0.0093"
"8","Boyer River At Logan, IA","1023","2.404","0.1339"
"9","Nishnabotna River Above Hamburg, IA","1024","13.001","0.0018"
"10","Missouri River At St. Joseph, MO","1024","-32.123","0.4520"
"11","Republican River Near Orleans, NE","1025","-5.861","1e-04"
"12","Republican R At Clay Center, KS","1025","-5.579","0.1572"
"13","Smoky Hill R At Enterprise, KS","1026","-12.875","0.2260"
"14","Sf Solomon R At Osborne, KS","1026","-5.271","0.0716"
"15","Kansas R At Wamego, KS","1027","-6.676","0.7143"
"16","Kansas R At Desoto, KS","1027","2.556","0.9103"
"17","Grand River Near Sumner, MO","1028","40.400","0.0264"
"18","Chariton River Near Prairie Hill, MO","1028","11.861","0.0199"
"19","Pomme De Terre River Near Polk, MO","1029","1.389","0.7039"
"20","Osage River Below St. Thomas, MO","1029","138.275","0.3106"
"21","Little Blue River Near Lake City, MO","1030","2.096","0.1415"
"22","Missouri River At Hermann, MO","1030","0.657","0.9942"
