"site_lab","site_nm","huc4","slope"
"1","Platte River near Overton, Nebr.","1020",2169.28236463427
"2","Platte River at Louisville, Nebr.","1020",658418.250805396
"3","Dismal River near Thedford, Nebr.","1021",1.10028360000887
"4","Beaver Creek at Genoa, Nebr.","1021",277.316213716369
"5","Maple Creek near Nickerson, Nebr.","1022",388.151641160659
"6","Elkhorn River at Waterloo, Nebr.","1022",40850.4998500311
"7","Missouri River at Omaha, NE","1023",-2650480.71827043
"8","Boyer River at Logan, IA","1023",6230.50463267335
"9","Nishnabotna River above Hamburg, IA","1024",62850.6119720328
"10","Missouri River at St. Joseph, MO","1024",-461369.062056033
"11","Republican River near Orleans, Nebr.","1025",-5469.64537862638
"12","REPUBLICAN R AT CLAY CENTER, KS","1025",-24389.5009385287
"13","SMOKY HILL R AT ENTERPRISE, KS","1026",-207205.966122732
"14","SF SOLOMON R AT OSBORNE, KS","1026",-15232.4115413767
"15","KANSAS R AT WAMEGO, KS","1027",-321605.633233593
"16","KANSAS R AT DESOTO, KS","1027",-319283.504054355
"17","Grand River near Sumner, MO","1028",840734.680460645
"18","Chariton River near Prairie Hill, MO","1028",83211.8468565343
"19","Pomme de Terre River near Polk, MO","1029",7338.65425142599
"20","Osage River below St. Thomas, MO","1029",3244538.37936125
"21","Little Blue River near Lake City, MO","1030",1345.42735984189
"22","Missouri River at Hermann, MO","1030",-5359187.33372688
